area_sqft,bhk,location,price,price_unit,property_type,scraped_at,title,url
1340,3,Mumbai,4.56,Cr,Apartment,2026-02-19T16:31:49.532593,"3 BHK  1340 Sq-ft  Flat  For SaleGoregaon West, Mumbai",https://www.magicbricks.com/propertyDetails/3-BHK-1340-Sq-ft-Multistorey-Apartment-FOR-Sale-Goregaon-West-in-Mumbai&id=4d423833313833303537
559,2,Mumbai,2.80,Cr,Apartment,2026-02-19T16:31:55.091647,"2 BHK Flat For Sale in Dosti Eastern Bay,Wadala East, Mumbai",https://www.magicbricks.com/propertyDetails/2-BHK-559-Sq-ft-Multistorey-Apartment-FOR-Sale-Wadala-East-in-Mumbai&id=4d423833323430313937
2203,3,Bangalore,2.96,Cr,Apartment,2026-02-19T16:31:55.136457,"3 BHK  2203 Sq-ft  Flat  For SaleYelahanka, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-2203-Sq-ft-Multistorey-Apartment-FOR-Sale-Yelahanka-in-Bangalore&id=4d423833323839353939
1000,2,New Delhi,1.25,Cr,Apartment,2026-02-19T16:31:55.248101,"2 BHK Builder Floor For Sale inBlock 19 Tilak Nagar, New Delhi",https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Builder-Floor-Apartment-FOR-Sale-in-New-Delhi&id=4d423833343636333831
1170,3,Mumbai,4.15,Cr,Apartment,2026-02-19T16:31:58.957283,"3 BHK Flat For Sale inSahakar Excel AcropolisBandra East, Mumbai",https://www.magicbricks.com/propertyDetails/3-BHK-1170-Sq-ft-Multistorey-Apartment-FOR-Sale-Bandra-East-in-Mumbai&id=4d423833303331383137
918,3,New Delhi,70.0,Lac,Apartment,2026-02-19T16:31:59.186336,"3 BHK Builder Floor For Sale inBharat Vihar Madhu Vihar, New Delhi",https://www.magicbricks.com/propertyDetails/3-BHK-918-Sq-ft-Builder-Floor-Apartment-FOR-Sale-in-New-Delhi&id=4d423833343635303537
1051,2,Bangalore,1.28,Cr,Apartment,2026-02-19T16:32:01.592126,"2 BHK Flat For Sale in Sankalp Square,Hebbal, Bangalore",https://www.magicbricks.com/propertyDetails/2-BHK-1051-Sq-ft-Multistorey-Apartment-FOR-Sale-Hebbal-in-Bangalore&id=4d423833303736333833
225,2,New Delhi,16.0,Lac,Apartment,2026-02-19T16:32:01.849268,"2 BHK Owner Residential House  For SaleKarawal Nagar, New Delhi",https://www.magicbricks.com/propertyDetails/2-BHK-450-Sq-ft-Residential-House-FOR-Sale-Karawal-Nagar-in-New-Delhi&id=4d423833343731313331
1070,3,Mumbai,4.63,Cr,Apartment,2026-02-19T16:32:03.761865,"3 BHK  1070 Sq-ft  Flat  For SaleAndheri West, Mumbai",https://www.magicbricks.com/propertyDetails/3-BHK-1070-Sq-ft-Multistorey-Apartment-FOR-Sale-Andheri-West-in-Mumbai&id=4d423833323937343039
1665,3,Bangalore,2.59,Cr,Apartment,2026-02-19T16:32:05.534011,"3 BHK Flat For Sale inCentury Mirai Phase IMarathahalli, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1665-Sq-ft-Multistorey-Apartment-FOR-Sale-Marathahalli-in-Bangalore&id=4d423833343537303135
